timestamp,rps_total,adservice_cpu,adservice_memory,cartservice_cpu,cartservice_memory,checkoutservice_cpu,checkoutservice_memory,currencyservice_cpu,currencyservice_memory,emailservice_cpu,emailservice_memory,frontend_cpu,frontend_memory,paymentservice_cpu,paymentservice_memory,productcatalogservice_cpu,productcatalogservice_memory,recommendationservice_cpu,recommendationservice_memory,redis-cart_cpu,redis-cart_memory,shippingservice_cpu,shippingservice_memory
2026-04-26 23:18:00,19.698924094642084,0.2672231503368344,225099776.0,0.3264439228019463,134598656.0,0.0679084258207421,61251584.0,0.4158225907736179,123125760.0,0.0402935658243081,114323456.0,0.5073257491391582,148623360.0,0.0385328885901347,86908928.0,0.1761256284947859,56836096.0,0.2497557850382195,115597312.0,0.0297824714470396,48439296.0,0.0348084006033313,59568128.0
2026-04-26 23:18:05,25.49131208381697,0.2971631278290704,224276480.0,0.3264439228019463,134598656.0,0.0747717424852031,57114624.0,0.3949606406022072,123125760.0,0.0467356635864483,114278400.0,0.5194156833998975,148623360.0,0.037224237318053,87179264.0,0.2059550360649539,57065472.0,0.2723389660665501,115597312.0,0.0341579458109523,45764608.0,0.0348084006033313,59568128.0
2026-04-26 23:18:10,28.421138788767387,0.3332977873518745,224276480.0,0.3149445481166744,135221248.0,0.0938195497284423,57114624.0,0.4377903485978468,124542976.0,0.0495850816879409,114278400.0,0.6333693325616063,148623360.0,0.0516343487326521,87179264.0,0.2059550360649539,57065472.0,0.2721317578673498,111206400.0,0.0341579458109523,45764608.0,0.0370368783799242,61222912.0
2026-04-26 23:18:15,31.55513216038447,0.3317251495991316,224276480.0,0.2999115145318483,138108928.0,0.0897506367770474,57114624.0,0.4452089010467802,128159744.0,0.0415347730012506,114274304.0,0.6397428969505559,168529920.0,0.0516343487326521,87179264.0,0.2156849487811921,57065472.0,0.2550202228496782,111206400.0,0.033420019688544,45772800.0,0.0419343325766987,62160896.0
2026-04-26 23:18:20,36.53722686799832,0.3114509982091852,221655040.0,0.3191208321435564,138108928.0,0.1015489454433816,57114624.0,0.4497242451159457,128159744.0,0.0413067677265164,114323456.0,0.6024092303287797,168529920.0,0.04498607034621,87384064.0,0.230264868838329,57065472.0,0.3055905716866732,111210496.0,0.0338952782568233,45772800.0,0.0419343325766987,62160896.0
2026-04-26 23:18:25,37.80913126188967,0.3487537396326063,238706688.0,0.2989360221930481,138096640.0,0.0878841274892137,57135104.0,0.4234158261488864,130048000.0,0.0439117225888831,114323456.0,0.6568978253480282,177344512.0,0.0409363108343613,87470080.0,0.2242787029320315,56287232.0,0.3149118331288232,116359168.0,0.0324967851610661,45805568.0,0.0428512983709479,62582784.0
2026-04-26 23:18:30,42.0447948177346,0.3653044371741276,239738880.0,0.2895926930988926,138440704.0,0.0939914272493478,57659392.0,0.4530952241687119,131555328.0,0.0439117225888831,114323456.0,0.6659650253075722,175874048.0,0.0289585528448899,87470080.0,0.2242787029320315,56287232.0,0.3137506474603412,116359168.0,0.0324967851610661,45805568.0,0.0417555345222033,62726144.0
2026-04-26 23:18:35,52.12763728550776,0.3697510985734613,229859328.0,0.1937360745782846,138440704.0,0.0901513005700112,57499648.0,0.4027022772393923,131555328.0,0.0473462093040134,115539968.0,0.6659650253075722,175874048.0,0.0262755087976916,87654400.0,0.2292967329254748,56287232.0,0.295142744286399,116359168.0,0.0335767749308941,45817856.0,0.04761477498038,65490944.0
2026-04-26 23:18:40,52.12763728550776,0.3524265520236692,229859328.0,0.1871202534461525,139493376.0,0.0901513005700112,57499648.0,0.4552452709473638,131555328.0,0.0453230995487523,115539968.0,0.6785328663583527,174424064.0,0.0315690794251969,90337280.0,0.2422222482052256,59162624.0,0.2758370714094821,118796288.0,0.034096945345343,48218112.0,0.04761477498038,65490944.0
2026-04-26 23:18:45,52.12763728550776,0.3439746360866768,229859328.0,0.2144254508477421,139550720.0,0.0909634766179134,59740160.0,0.3982000893218279,131555328.0,0.0453230995487523,115539968.0,0.5536036665039247,174424064.0,0.0272726663897448,90337280.0,0.2398518233741388,59162624.0,0.2811158180659457,57466880.0,0.0339637936090077,48234496.0,0.0460314433426444,65490944.0
2026-04-26 23:18:50,57.10706428746028,0.3147569047690692,229859328.0,0.2144254508477421,139550720.0,0.0919658020289134,60203008.0,0.443900040489519,142376960.0,0.0430922994800303,115503104.0,0.6495436485241382,180502528.0,0.0285052143905825,90337280.0,0.2398518233741388,59162624.0,0.2656525752335069,57466880.0,0.0323165946899402,48234496.0,0.0370355781157927,66162688.0
2026-04-26 23:18:55,56.23811033608117,0.2853777152793054,234852352.0,0.1572595587478019,140484608.0,0.0872669454017438,60203008.0,0.4555969615510306,142376960.0,0.0487926745975375,115503104.0,0.6495436485241382,180502528.0,0.0263113201205397,90501120.0,0.1960686762988991,59224064.0,0.275505835646901,73031680.0,0.0323165946899402,48234496.0,0.0495637881176794,66469888.0
2026-04-26 23:19:00,56.23811033608117,0.2861008727902649,234852352.0,0.1645459977308863,140918784.0,0.0868890236530134,60289024.0,0.4662786877659296,142471168.0,0.0454651990042947,115580928.0,0.6376139618385813,179924992.0,0.0301572793215857,90726400.0,0.1839670978949426,59293696.0,0.2204772026284028,73031680.0,0.0301289089931556,48418816.0,0.0495637881176794,66469888.0
2026-04-26 23:19:05,63.56527582625695,0.2469377602723425,234852352.0,0.180281142946873,140918784.0,0.0873142643565773,61014016.0,0.4743103771224792,142888960.0,0.0477472739898438,115580928.0,0.6716298819075468,179924992.0,0.031307474161044,90726400.0,0.1440506783823082,59293696.0,0.2204772026284028,72916992.0,0.0314075422428829,48418816.0,0.0490963024851345,66514944.0
2026-04-26 23:19:10,64.05798315807114,0.2746005509568536,237162496.0,0.1887467452682232,142864384.0,0.1096756175084223,61014016.0,0.4756875288604363,142888960.0,0.0491114603382165,115634176.0,0.6856343518397935,183336960.0,0.031307474161044,90726400.0,0.1681215795009863,59293696.0,0.2152491333160389,58228736.0,0.0314470347914725,48422912.0,0.0504162909755978,66711552.0
