timestamp,cpu_usage_cores,latency_avg_ms,latency_p95_ms,memory_usage_bytes,rps_total,total_requests
2026-04-26 23:18:00,2.1624959508785495,3282.843078437096,9263.230952483736,1204994048.0,19.698924094642084,1181.9354456785252
2026-04-26 23:18:05,2.254276064480552,4101.41111822217,18835.54507041591,1197813760.0,25.49131208381697,1529.4787250290185
2026-04-26 23:18:10,2.4740233128121556,4149.214760390547,19054.884877726465,1197117440.0,28.421138788767387,1705.2683273260432
2026-04-26 23:18:15,2.455868442447317,4188.071606972689,19226.92361166994,1224470528.0,31.55513216038447,1893.307929623068
2026-04-26 23:18:20,2.4916103793095425,5416.711141360152,24602.83289770256,1222107136.0,36.53722686799832,2192.233612079898
2026-04-26 23:18:25,2.5238105246301594,5724.373832362724,25217.17171717171,1254780928.0,37.80913126188967,2268.54787571338
2026-04-26 23:18:30,2.561453250679087,5860.9109418378575,26540.60913705583,1256861696.0,42.0447948177346,2522.687689064076
2026-04-26 23:18:35,2.409911019664595,6199.430815973068,26040.19292604501,1251000320.0,52.12763728550776,3127.658237130466
2026-04-26 23:18:40,2.448491960430949,6705.999857896873,26040.19292604501,1260998656.0,52.12763728550776,3127.658237130466
2026-04-26 23:18:45,2.283601271686637,6705.999857896873,26040.19292604501,1204330496.0,52.12763728550776,3127.658237130466
2026-04-26 23:18:50,2.3699212399216916,7168.935276572669,26319.36127744511,1222328320.0,57.10706428746028,3426.423857247617
2026-04-26 23:18:55,2.272555795188156,6432.6455464868695,25387.88870703764,1244352512.0,56.23811033608117,3374.2866201648694
2026-04-26 23:19:00,2.2093259619324765,6432.6455464868695,25387.88870703764,1244946432.0,56.23811033608117,3374.2866201648703
2026-04-26 23:19:05,2.1941791859251065,5890.715549662487,23863.90532544379,1246019584.0,63.56527582625695,3813.916549575417
2026-04-26 23:19:10,2.290599067852655,6082.076146037984,25580.31837916063,1239310336.0,64.05798315807114,3843.478989484268
2026-04-26 23:19:15,2.2618097996054933,6082.076146037984,25580.31837916063,1240035328.0,64.05798315807114,3843.478989484268
2026-04-26 23:19:20,2.2310989647301445,5765.094677584441,25779.697624190063,1242288128.0,59.44525904203324,3566.7155425219944
2026-04-26 23:19:25,1.8268387349590363,6326.97961452928,26299.039780521263,1251741696.0,52.99863293245894,3179.9179759475364
2026-04-26 23:19:30,1.8145027716167266,6326.97961452928,26299.039780521263,1255993344.0,52.99863293245894,3179.9179759475364
