"run_name","stage_index","users","duration_min","started_at","ended_at"
"ab_20260621_022706_A_proposed","1","30","3","2026-06-21 02:29:11","2026-06-21 02:32:53"
"ab_20260621_022706_A_proposed","2","90","4","2026-06-21 02:32:53","2026-06-21 02:37:50"
"ab_20260621_022706_A_proposed","3","130","5","2026-06-21 02:37:50","2026-06-21 02:43:59"
"ab_20260621_022706_A_proposed","4","180","8","2026-06-21 02:43:59","2026-06-21 02:54:21"
"ab_20260621_022706_A_proposed","5","130","5","2026-06-21 02:54:21","2026-06-21 03:00:41"
"ab_20260621_022706_A_proposed","6","70","4","2026-06-21 03:00:41","2026-06-21 03:05:33"
"ab_20260621_022706_A_proposed","7","30","3","2026-06-21 03:05:33","2026-06-21 03:09:07"
"ab_20260621_022706_A_proposed","8","0","1","2026-06-21 03:09:07","2026-06-21 03:10:17"
