run_name,users,timestamp,frontend_rps
run_100_users,100,2026-05-03 23:19:30,4.048174675878807
run_100_users,100,2026-05-03 23:19:35,4.048174675878807
run_100_users,100,2026-05-03 23:19:40,4.048174675878807
run_100_users,100,2026-05-03 23:19:45,4.048174675878807
run_100_users,100,2026-05-03 23:19:50,4.048174675878807
run_100_users,100,2026-05-03 23:19:55,4.048174675878807
run_100_users,100,2026-05-03 23:20:00,4.048174675878807
run_100_users,100,2026-05-03 23:20:05,4.048174675878807
run_100_users,100,2026-05-03 23:20:10,4.048174675878807
run_100_users,100,2026-05-03 23:20:15,4.048174675878807
run_100_users,100,2026-05-03 23:20:20,4.048174675878807
run_100_users,100,2026-05-03 23:20:25,4.048174675878807
run_100_users,100,2026-05-03 23:20:30,4.048174675878807
run_100_users,100,2026-05-03 23:20:35,4.048174675878807
run_100_users,100,2026-05-03 23:20:40,4.048174675878807
run_100_users,100,2026-05-03 23:20:45,7.241523295100917
run_100_users,100,2026-05-03 23:20:50,9.05867453543167
run_100_users,100,2026-05-03 23:20:55,10.875825775762426
run_100_users,100,2026-05-03 23:21:00,13.917214404787789
run_100_users,100,2026-05-03 23:21:05,15.915578438376873
run_100_users,100,2026-05-03 23:21:10,17.913942471965957
run_100_users,100,2026-05-03 23:21:15,22.673663820199323
run_100_users,100,2026-05-03 23:21:20,24.955075611496056
run_100_users,100,2026-05-03 23:21:25,27.236487402792783
run_100_users,100,2026-05-03 23:21:30,29.971736497189177
run_100_users,100,2026-05-03 23:21:35,34.731071869247735
run_100_users,100,2026-05-03 23:21:40,34.731071869247735
run_100_users,100,2026-05-03 23:21:45,39.454094292803966
run_100_users,100,2026-05-03 23:21:50,41.80779000846739
run_100_users,100,2026-05-03 23:21:55,41.80779000846739
run_100_users,100,2026-05-03 23:22:00,45.1302729528536
run_100_users,100,2026-05-03 23:22:05,46.62363154380071
run_100_users,100,2026-05-03 23:22:10,46.62363154380071
run_100_users,100,2026-05-03 23:22:15,48.23321005687292
run_100_users,100,2026-05-03 23:22:20,50.08796659389109
run_100_users,100,2026-05-03 23:22:25,50.08796659389109
run_100_users,100,2026-05-03 23:22:30,50.08796659389109
run_100_users,100,2026-05-03 23:22:35,48.990185740936
run_100_users,100,2026-05-03 23:22:40,48.990185740936
run_100_users,100,2026-05-03 23:22:45,48.990185740936006
run_100_users,100,2026-05-03 23:22:50,52.31226134917269
run_100_users,100,2026-05-03 23:22:55,52.31226134917267
run_100_users,100,2026-05-03 23:23:00,52.31226134917267
run_100_users,100,2026-05-03 23:23:05,51.493466085874296
run_100_users,100,2026-05-03 23:23:10,48.21573398215735
run_100_users,100,2026-05-03 23:23:15,48.21573398215735
run_100_users,100,2026-05-03 23:23:20,50.402411360740814
run_100_users,100,2026-05-03 23:23:25,49.19353129437698
run_100_users,100,2026-05-03 23:23:30,49.19353129437698
run_100_users,100,2026-05-03 23:23:35,44.18893722809198
run_100_users,100,2026-05-03 23:23:40,42.75962648625655
run_100_users,100,2026-05-03 23:23:45,42.75962648625655
run_100_users,100,2026-05-03 23:23:50,43.120320606418346
run_100_users,100,2026-05-03 23:23:55,43.93066033737391
run_100_users,100,2026-05-03 23:24:00,43.93066033737391
run_100_users,100,2026-05-03 23:24:05,43.93066033737391
run_100_users,100,2026-05-03 23:24:10,42.68671554616627
run_100_users,100,2026-05-03 23:24:15,41.44187832131095
run_100_users,100,2026-05-03 23:24:20,41.44187832131095
run_100_users,100,2026-05-03 23:24:25,42.164571853136025
run_100_users,100,2026-05-03 23:24:30,43.59131556138088
run_100_users,100,2026-05-03 23:24:35,43.59131556138088
run_100_users,100,2026-05-03 23:24:40,42.626300148588406
run_100_users,100,2026-05-03 23:24:45,39.640004044898376
run_100_users,100,2026-05-03 23:24:50,39.640004044898376
run_100_users,100,2026-05-03 23:24:55,39.91661999875552
run_100_users,100,2026-05-03 23:25:00,39.47563795261227
run_100_users,100,2026-05-03 23:25:05,39.47563795261227
run_100_users,100,2026-05-03 23:25:10,39.47563795261227
run_100_users,100,2026-05-03 23:25:15,36.12096322568601
run_100_users,100,2026-05-03 23:25:20,35.15640848784842
run_100_users,100,2026-05-03 23:25:25,35.15640848784842
run_100_users,100,2026-05-03 23:25:30,35.766491462694
run_100_users,100,2026-05-03 23:25:35,26.91182084234635
run_100_users,100,2026-05-03 23:25:40,26.91182084234635
run_100_users,100,2026-05-03 23:25:45,21.49099617454048
run_100_users,100,2026-05-03 23:25:50,13.99578708579762
run_100_users,100,2026-05-03 23:25:55,13.99578708579762
run_100_users,100,2026-05-03 23:26:00,3.693358162631906
run_200_users,200,2026-05-03 23:38:25,0.3380734041878843
run_200_users,200,2026-05-03 23:38:30,0.3380734041878843
run_200_users,200,2026-05-03 23:38:35,0.3380734041878843
run_200_users,200,2026-05-03 23:38:40,0.4949116891954592
run_200_users,200,2026-05-03 23:38:45,3.8976955377413445
run_200_users,200,2026-05-03 23:38:50,3.8976955377413445
run_200_users,200,2026-05-03 23:38:55,5.979349668670057
run_200_users,200,2026-05-03 23:39:00,13.152070818842873
run_200_users,200,2026-05-03 23:39:05,13.152070818842873
run_200_users,200,2026-05-03 23:39:10,18.739982739489584
run_200_users,200,2026-05-03 23:39:15,24.288241917323464
run_200_users,200,2026-05-03 23:39:20,24.288241917323464
run_200_users,200,2026-05-03 23:39:25,31.896444939923196
run_200_users,200,2026-05-03 23:39:30,34.61692994142401
run_200_users,200,2026-05-03 23:39:35,34.61692994142401
run_200_users,200,2026-05-03 23:39:40,34.61692994142401
run_200_users,200,2026-05-03 23:39:45,37.38115147573477
run_200_users,200,2026-05-03 23:39:50,32.83419438165967
run_200_users,200,2026-05-03 23:39:55,32.83419438165967
run_200_users,200,2026-05-03 23:40:00,31.83508989460632
run_200_users,200,2026-05-03 23:40:05,32.77266476250926
run_200_users,200,2026-05-03 23:40:10,32.77266476250926
run_200_users,200,2026-05-03 23:40:15,29.19300855336556
run_200_users,200,2026-05-03 23:40:20,32.04766889443595
run_200_users,200,2026-05-03 23:40:25,32.04766889443595
run_200_users,200,2026-05-03 23:40:30,36.15833153364391
run_200_users,200,2026-05-03 23:40:35,43.7010946364921
run_200_users,200,2026-05-03 23:40:40,43.7010946364921
run_200_users,200,2026-05-03 23:40:45,43.7010946364921
run_200_users,200,2026-05-03 23:40:50,47.827696864971614
run_200_users,200,2026-05-03 23:40:55,47.58556966093524
run_200_users,200,2026-05-03 23:41:00,47.58556966093524
run_200_users,200,2026-05-03 23:41:05,53.09488510007414
run_200_users,200,2026-05-03 23:41:10,55.49223235393448
run_200_users,200,2026-05-03 23:41:15,55.49223235393448
run_200_users,200,2026-05-03 23:41:20,53.403755868544614
