run_name,run_type,timestamp,service,frontend_rps,frontend_total_requests_1m,service_rps,cpu_usage_cores,memory_usage_bytes,latency_avg_ms,latency_p95_ms,service_rps_was_missing,latency_avg_was_missing,latency_p95_was_missing,predicted_rps,rps_lag_1,rps_lag_2,rps_lag_3,service_rps_lag_1,rps_rolling_mean_3,future_cpu_usage_cores,future_memory_usage_bytes,required_replicas,svc_adservice,svc_cartservice,svc_checkoutservice,svc_currencyservice,svc_emailservice,svc_frontend,svc_paymentservice,svc_productcatalogservice,svc_recommendationservice,svc_shippingservice
train_01,train,2026-06-17 03:18:25,adservice,4.168037731709992,250.08226390259952,2.4130744762531537,0.0091923417298613,275767296.0,1.4456896551720124,5.16666666666666,False,False,False,19.264144394307536,4.168037731709992,4.168037731709992,4.168037731709992,2.4130744762531537,4.168037731709992,0.0343457651802154,277176320.0,3,True,False,False,False,False,False,False,False,False,False
train_01,train,2026-06-17 03:18:30,adservice,4.168037731709992,250.08226390259952,2.4130744762531537,0.0111789967311599,275767296.0,1.4456896551720124,5.16666666666666,False,False,False,19.264144394307536,4.168037731709992,4.168037731709992,4.168037731709992,2.4130744762531537,4.168037731709992,0.0610136208349462,277667840.0,3,True,False,False,False,False,False,False,False,False,False
train_01,train,2026-06-17 03:18:35,adservice,4.168037731709992,250.08226390259952,2.4130744762531537,0.0111336365019024,275767296.0,1.4456896551720124,5.16666666666666,False,False,False,19.264144394307536,4.168037731709992,4.168037731709992,4.168037731709992,2.4130744762531537,4.168037731709992,0.062213361134397,277663744.0,3,True,False,False,False,False,False,False,False,False,False
train_01,train,2026-06-17 03:18:40,adservice,11.824939482873118,709.496368972387,7.369007326164259,0.0284013762168292,276406272.0,2.6251612903227306,7.916666666666661,False,False,False,22.44661692822228,4.168037731709992,4.168037731709992,4.168037731709992,2.4130744762531537,6.720338315431033,0.0692900368759332,277663744.0,3,True,False,False,False,False,False,False,False,False,False
train_01,train,2026-06-17 03:18:45,adservice,11.824939482873118,709.496368972387,7.369007326164259,0.0345489835186183,276406272.0,2.6251612903227306,7.916666666666661,False,False,False,23.22811197141156,11.824939482873118,4.168037731709992,4.168037731709992,7.369007326164259,9.272638899152076,0.0668362684413371,278290432.0,3,True,False,False,False,False,False,False,False,False,False
train_01,train,2026-06-17 03:18:50,adservice,11.824939482873118,709.496368972387,7.369007326164259,0.0394739221006178,277176320.0,2.6251612903227306,7.916666666666661,False,False,False,23.22811197141156,11.824939482873118,11.824939482873118,4.168037731709992,7.369007326164259,11.824939482873118,0.0684878421666578,278044672.0,3,True,False,False,False,False,False,False,False,False,False
train_01,train,2026-06-17 03:18:55,adservice,19.264144394307536,1155.848663658452,12.734293648038872,0.0343457651802154,277176320.0,2.874448529411679,9.5151515151515,False,False,False,23.612368999870625,11.824939482873118,11.824939482873118,11.824939482873118,7.369007326164259,14.304674453351259,0.0733173899840502,278044672.0,3,True,False,False,False,False,False,False,False,False,False
train_01,train,2026-06-17 03:19:00,adservice,19.264144394307536,1155.848663658452,12.734293648038872,0.0610136208349462,277667840.0,2.874448529411679,9.5151515151515,False,False,False,24.435926474431568,19.264144394307536,11.824939482873118,11.824939482873118,12.734293648038872,16.7844094238294,0.0750297138002031,278036480.0,3,True,False,False,False,False,False,False,False,False,False
train_01,train,2026-06-17 03:19:05,adservice,19.264144394307536,1155.848663658452,12.734293648038877,0.062213361134397,277663744.0,2.874448529411679,9.515151515151516,False,False,False,24.435926474431568,19.264144394307536,19.264144394307536,11.824939482873118,12.734293648038872,19.264144394307536,0.0706479778250209,278036480.0,3,True,False,False,False,False,False,False,False,False,False
train_01,train,2026-06-17 03:19:10,adservice,22.44661692822228,1346.7970156933366,15.6768484642219,0.0692900368759332,277663744.0,3.280868385346156,15.826923076923038,False,False,False,25.423728813559325,19.264144394307536,19.264144394307536,19.264144394307536,12.734293648038877,20.324968572279115,0.0769108213757853,278028288.0,3,True,False,False,False,False,False,False,False,False,False
