sample_index,actual_rps,predicted_rps,absolute_error,squared_error
285,50.274254,54.8058,4.5315475,20.534924
286,49.442276,54.11032,4.668045,21.790644
287,49.442276,53.275116,3.83284,14.690662
288,49.442276,51.675236,2.2329597,4.9861093
289,53.793785,50.760117,3.0336685,9.203145
290,53.793785,50.079132,3.714653,13.798647
291,53.793785,49.248417,4.545368,20.660372
292,52.186115,48.552628,3.6334877,13.202233
293,52.186115,48.149582,4.0365334,16.293602
294,52.186115,48.10837,4.0777435,16.627993
295,54.388744,49.042576,5.3461685,28.581518
296,54.388744,49.85051,4.5382347,20.595573
297,54.388744,50.578876,3.8098679,14.515093
298,55.322006,50.808384,4.5136223,20.372786
299,55.322006,50.89843,4.4235764,19.568027
300,55.322006,50.836975,4.485031,20.115503
301,51.858456,51.165714,0.6927414,0.47989064
302,51.858456,51.454506,0.40394974,0.16317539
303,51.858456,51.666412,0.1920433,0.03688063
304,49.2613,51.987846,2.7265472,7.43406
305,49.2613,52.24941,2.9881096,8.928799
306,49.2613,52.437466,3.1761665,10.088034
307,45.280354,51.949574,6.66922,44.478497
308,45.280354,51.4029,6.122547,37.485584
309,45.280354,50.888252,5.6078987,31.448528
310,47.804325,49.96114,2.1568146,4.6518493
311,47.804325,49.1065,1.3021736,1.6956562
312,47.804325,48.444847,0.640522,0.41026843
313,47.40523,47.132267,0.27296448,0.074509606
314,47.40523,46.11362,1.2916107,1.6682582
315,47.40523,45.418785,1.9864464,3.945969
316,48.18431,45.637188,2.547123,6.4878354
317,48.18431,46.04392,2.1403923,4.5812793
318,48.18431,46.51651,1.6678009,2.78156
319,47.195423,46.818565,0.37685776,0.14202178
320,48.059826,47.01665,1.0431747,1.0882136
321,48.059826,47.153877,0.90594864,0.82074296
322,49.331104,47.355762,1.9753418,3.9019752
323,52.389523,47.518803,4.87072,23.723913
324,52.389523,47.63849,4.751034,22.572323
325,54.05666,47.497814,6.5588455,43.018456
326,53.79343,47.499813,6.2936172,39.60962
327,53.79343,47.505585,6.2878456,39.537003
328,55.926167,47.77167,8.154495,66.4958
329,56.10288,48.57914,7.523739,56.606647
330,56.10288,49.328224,6.7746544,45.895943
331,56.10288,50.25149,5.851387,34.23873
332,52.938652,50.95484,1.9838104,3.9355037
333,52.938652,51.451916,1.4867363,2.2103848
334,52.938652,52.15449,0.7841606,0.61490786
335,47.65965,52.70636,5.046711,25.469292
336,47.65965,53.07596,5.4163094,29.336407
337,47.65965,53.271114,5.6114655,31.488544
338,40.667633,52.749607,12.081974,145.97409
339,40.667633,52.156475,11.488842,131.99348
340,40.667633,51.609417,10.941784,119.72263
341,36.18826,50.200134,14.011875,196.33264
342,36.18826,48.706684,12.518425,156.71097
343,36.18826,47.576534,11.388275,129.69281
344,34.552322,45.16415,10.611828,112.61089
345,34.552322,43.27034,8.718018,76.00383
346,34.552322,42.002842,7.4505196,55.510242
347,35.0881,40.239574,5.151474,26.537683
348,35.0881,39.016617,3.9285164,15.433241
349,35.0881,38.292892,3.204792,10.270692
350,34.61588,37.562233,2.946354,8.681002
351,35.356976,37.174282,1.8173065,3.302603
352,35.356976,37.039814,1.6828384,2.8319452
353,36.900368,37.12489,0.22452164,0.050409965
354,35.799107,37.31884,1.5197334,2.3095896
355,35.799107,37.548317,1.7492104,3.059737
356,35.216057,37.58963,2.3735733,5.63385
357,33.037098,37.794598,4.7574997,22.633802
358,33.037098,37.97729,4.940193,24.405508
359,31.085043,38.412468,7.327425,53.69116
360,33.661633,38.552624,4.890991,23.921795
361,33.661633,38.632156,4.970524,24.706108
362,33.661633,38.519352,4.8577194,23.597439
363,33.726593,37.915638,4.189045,17.548098
364,33.726593,37.36488,3.6382866,13.237129
365,33.726593,36.503407,2.7768135,7.7106934
366,36.58858,36.364113,0.22446823,0.050385986
367,36.58858,36.36409,0.22449112,0.050396264
368,36.58858,36.44751,0.14107132,0.019901117
369,23.22334,36.596153,13.372814,178.83215
370,23.22334,36.748024,13.524685,182.9171
371,23.22334,36.89377,13.670429,186.88063
372,12.11937,37.60432,25.484951,649.4827
373,12.11937,38.222496,26.103127,681.3732
