timestamp,run_name,users,service,frontend_rps,service_rps,predicted_rps,cpu_usage_cores,memory_usage_bytes,latency_p95_ms,latency_avg_ms,actual_replicas,predicted_replicas,actual_replicas_raw,predicted_replicas_raw,absolute_error,prediction_status
2026-05-03 23:19:55,run_100_users,100,emailservice,3.693358162631906,0.7059157605008626,3.693358162631906,0.0160471642230643,113045504.0,37.916666666666686,8.691379310344828,1.0,1.0,1.0,0.9904948,0.0,correct
2026-05-04 00:07:10,run_300_users,300,frontend,55.28800656137621,54.21319369966144,55.28800656137621,0.7426786556679006,165941248.0,9581.619537275064,5080.505127231295,5.0,5.0,5.0,5.0823693,0.0,correct
2026-05-04 00:06:15,run_300_users,300,currencyservice,47.640945461234246,228.7975125072253,45.00607920910485,0.4764032303463775,135479296.0,1985.6174698795169,562.9372727272727,3.0,3.0,3.0,3.0557246,0.0,correct
2026-05-04 00:25:15,run_400_users,400,recommendationservice,20.46309607561252,10.191243080020133,20.910062967803256,0.2602234321802092,117645312.0,315.9090909090909,82.6736625514411,2.0,3.0,2.0,2.6633053,1.0,over_scaled
2026-05-04 00:07:10,run_300_users,300,productcatalogservice,55.28800656137621,234.1745531019979,55.28800656137621,0.2725262216784209,63397888.0,43.853392193308565,12.829087924762648,2.0,2.0,2.0,2.0339,0.0,correct
2026-05-04 00:35:35,run_400_users,400,recommendationservice,35.72845156369184,19.44898044634259,33.89729890175126,0.4337133919940595,117723136.0,965.3169014084506,359.5190702087283,3.0,3.0,3.0,3.0079212,0.0,correct
2026-05-04 00:34:35,run_400_users,400,recommendationservice,39.167589808514,21.60136493815124,39.167589808514,0.4643374066830014,117329920.0,3577.58620689655,832.2137878787902,3.0,3.0,3.0,3.0375915,0.0,correct
2026-05-03 23:40:20,run_200_users,200,shippingservice,32.04766889443595,9.577831504556444,32.04766889443595,0.0551520330041881,56053760.0,36.39705882352936,10.787540983606554,1.0,1.0,1.0,1.0050001,0.0,correct
2026-05-04 00:06:55,run_300_users,300,paymentservice,47.781569965870304,3.8914388345639592,51.91852784860679,0.0324814382946019,108240896.0,23.022727272727263,6.996938775510174,1.0,1.0,1.0,1.0200998,0.0,correct
2026-05-03 23:45:20,run_200_users,200,emailservice,43.92421865572584,2.8559361235695184,45.19878810362951,0.0573010204975084,119496704.0,23.975,7.579192546583852,1.0,1.0,1.0,0.9961436,0.0,correct
