run_name,users,timestamp,service,frontend_rps,frontend_total_requests_1m,service_rps,cpu_usage_cores,memory_usage_bytes,latency_avg_ms,latency_p95_ms,service_rps_was_missing,latency_avg_was_missing,latency_p95_was_missing,predicted_rps,rps_lag_1,rps_lag_2,rps_lag_3,service_rps_lag_1,rps_rolling_mean_3,future_cpu_usage_cores,future_memory_usage_bytes,required_replicas,svc_adservice,svc_cartservice,svc_checkoutservice,svc_currencyservice,svc_emailservice,svc_frontend,svc_paymentservice,svc_productcatalogservice,svc_recommendationservice,svc_shippingservice
run_100_users,100,2026-05-03 23:20:45,adservice,7.241523295100917,434.49139770605495,7.300719518576662,0.0742582326507248,211709952.0,59.70033473376096,212.94407104631068,True,True,True,22.673663820199323,7.241523295100917,7.241523295100917,7.241523295100917,7.300719518576662,9.05867453543167,0.4185100229731675,225710080.0,3,True,False,False,False,False,False,False,False,False,False
run_100_users,100,2026-05-03 23:20:50,adservice,9.05867453543167,543.5204721259003,7.300719518576662,0.1421006089830572,222732288.0,59.70033473376096,212.94407104631068,True,True,True,24.955075611496056,7.241523295100917,7.241523295100917,7.241523295100917,7.300719518576662,9.05867453543167,0.4185100229731675,225710080.0,3,True,False,False,False,False,False,False,False,False,False
run_100_users,100,2026-05-03 23:20:55,adservice,10.875825775762426,652.5495465457456,7.300719518576662,0.2399748025785938,223535104.0,59.70033473376096,212.94407104631068,False,False,False,27.236487402792783,9.05867453543167,7.241523295100917,7.241523295100917,7.300719518576662,9.05867453543167,0.4040828114045168,229535744.0,3,True,False,False,False,False,False,False,False,False,False
run_100_users,100,2026-05-03 23:21:00,adservice,13.917214404787789,835.0328642872673,8.78336385836386,0.2566302958814784,223535104.0,59.80262092356238,213.32619652353355,False,False,False,29.971736497189177,10.875825775762426,9.05867453543167,7.241523295100917,7.300719518576662,11.283904905327296,0.4035217950462845,243445760.0,3,True,False,False,False,False,False,False,False,False,False
run_100_users,100,2026-05-03 23:21:05,adservice,15.915578438376873,954.9347063026124,10.266008198151056,0.2825742928718595,222543872.0,59.87306469783536,213.58481315296643,False,False,False,34.731071869247735,13.917214404787789,10.875825775762426,9.05867453543167,8.78336385836386,13.569539539642362,0.3860992546085555,243445760.0,3,True,False,False,False,False,False,False,False,False,False
run_100_users,100,2026-05-03 23:21:10,adservice,17.913942471965957,1074.8365483179573,12.351919314264418,0.2602423328093595,222543872.0,51.71274675592774,203.29071133859088,False,False,False,34.731071869247735,15.915578438376873,13.917214404787789,10.875825775762426,10.266008198151056,15.915578438376874,0.3817041404665567,243445760.0,3,True,False,False,False,False,False,False,False,False,False
run_100_users,100,2026-05-03 23:21:15,adservice,22.673663820199323,1360.4198292119593,13.90217449817282,0.4185100229731675,225710080.0,51.62444201142399,203.3213442039545,False,False,False,39.454094292803966,17.913942471965957,15.915578438376873,13.917214404787789,12.351919314264418,18.834394910180716,0.3554101588570892,241635328.0,3,True,False,False,False,False,False,False,False,False,False
run_100_users,100,2026-05-03 23:21:20,adservice,24.955075611496056,1497.3045366897634,15.452429682081224,0.4185100229731675,225710080.0,51.55482045476702,203.3454675696795,False,False,False,41.80779000846739,22.673663820199323,17.913942471965957,15.915578438376873,13.90217449817282,21.847560634553776,0.3850006352555972,228515840.0,3,True,False,False,False,False,False,False,False,False,False
run_100_users,100,2026-05-03 23:21:25,adservice,27.236487402792783,1634.1892441675673,17.00268486598963,0.4040828114045168,229535744.0,51.4985199569655,203.36495705840795,False,False,False,41.80779000846739,24.955075611496056,22.673663820199323,17.913942471965957,15.452429682081224,24.955075611496056,0.3837729663767905,228515840.0,3,True,False,False,False,False,False,False,False,False,False
run_100_users,100,2026-05-03 23:21:30,adservice,29.971736497189177,1798.3041898313504,20.592630767815432,0.4035217950462845,243445760.0,43.5837974247252,183.7654718154144,False,False,False,45.1302729528536,27.236487402792783,24.955075611496056,22.673663820199323,17.00268486598963,27.387766503826004,0.3837729663767905,228515840.0,3,True,False,False,False,False,False,False,False,False,False
run_100_users,100,2026-05-03 23:21:35,adservice,34.731071869247735,2083.864312154864,20.96849784670948,0.3860992546085555,243445760.0,42.71087376938832,182.0006321590682,False,False,False,46.62363154380071,29.971736497189177,27.236487402792783,24.955075611496056,20.592630767815432,30.646431923076562,0.363043747561697,228515840.0,3,True,False,False,False,False,False,False,False,False,False
run_100_users,100,2026-05-03 23:21:40,adservice,34.731071869247735,2083.864312154864,22.380470101921635,0.3817041404665567,243445760.0,35.272187605496924,133.73198728813878,False,False,False,46.62363154380071,34.731071869247735,29.971736497189177,27.236487402792783,20.96849784670948,33.144626745228216,0.3531560728464759,239099904.0,3,True,False,False,False,False,False,False,False,False,False
run_100_users,100,2026-05-03 23:21:45,adservice,39.454094292803966,2367.245657568238,25.59471601609972,0.3554101588570892,241635328.0,33.216781338063285,117.00550569170568,False,False,False,48.23321005687292,34.731071869247735,34.731071869247735,29.971736497189177,22.380470101921635,36.30541267709981,0.3482820479596895,239099904.0,3,True,False,False,False,False,False,False,False,False,False
run_100_users,100,2026-05-03 23:21:50,adservice,41.80779000846739,2508.467400508044,25.597300877085893,0.3850006352555972,228515840.0,33.23869718416436,117.2163388013714,False,False,False,50.08796659389109,39.454094292803966,34.731071869247735,34.731071869247735,25.59471601609972,38.66431872350637,0.3390943487673191,234442752.0,3,True,False,False,False,False,False,False,False,False,False
run_100_users,100,2026-05-03 23:21:55,adservice,41.80779000846739,2508.467400508044,28.41279196004839,0.3837729663767905,228515840.0,31.33189110762192,98.19298500488438,False,False,False,50.08796659389109,41.80779000846739,39.454094292803966,34.731071869247735,25.597300877085893,41.02322476991292,0.3141092573311619,229920768.0,2,True,False,False,False,False,False,False,False,False,False
run_100_users,100,2026-05-03 23:22:00,adservice,45.1302729528536,2707.816377171215,28.71666045702144,0.3837729663767905,228515840.0,26.86494486045128,94.23230844407789,False,False,False,50.08796659389109,41.80779000846739,41.80779000846739,39.454094292803966,28.41279196004839,42.915284323262796,0.2966176454747167,229920768.0,2,True,False,False,False,False,False,False,False,False,False
run_100_users,100,2026-05-03 23:22:05,adservice,46.62363154380071,2797.417892628043,28.71925029862673,0.363043747561697,228515840.0,26.88338637186231,94.17626789310248,False,False,False,48.990185740936,45.1302729528536,41.80779000846739,41.80779000846739,28.71666045702144,44.520564835040574,0.2966176454747167,229920768.0,2,True,False,False,False,False,False,False,False,False,False
run_100_users,100,2026-05-03 23:22:10,adservice,46.62363154380071,2797.417892628043,30.518693476706968,0.3531560728464759,239099904.0,24.644824016563145,92.04347826086952,False,False,False,48.990185740936,46.62363154380071,45.1302729528536,41.80779000846739,28.71925029862673,46.125845346818345,0.2786848272630141,231079936.0,2,True,False,False,False,False,False,False,False,False,False
