"run_name","stage_index","users","duration_min","started_at","ended_at"
"baseline_clean_20260621_040846","1","30","3","2026-06-21 04:08:47","2026-06-21 04:12:43"
"baseline_clean_20260621_040846","2","90","4","2026-06-21 04:12:43","2026-06-21 04:18:10"
"baseline_clean_20260621_040846","3","130","5","2026-06-21 04:18:10","2026-06-21 04:24:38"
"baseline_clean_20260621_040846","4","180","8","2026-06-21 04:24:38","2026-06-21 04:34:59"
"baseline_clean_20260621_040846","5","130","5","2026-06-21 04:34:59","2026-06-21 04:41:32"
"baseline_clean_20260621_040846","6","70","4","2026-06-21 04:41:32","2026-06-21 04:46:32"
"baseline_clean_20260621_040846","7","30","3","2026-06-21 04:46:32","2026-06-21 04:50:16"
"baseline_clean_20260621_040846","8","0","1","2026-06-21 04:50:16","2026-06-21 04:51:28"
