timestamp,metric,value,destination_workload,pod,run_name,users
2026-05-02 20:47:20,memory_usage_bytes,90877952.0,,currencyservice-74bfdb9755-d6g9w,run_100_users,100
2026-05-02 20:47:20,memory_usage_bytes,115806208.0,,emailservice-6455d79945-458lq,run_100_users,100
2026-05-02 20:47:20,memory_usage_bytes,51892224.0,,frontend-8458fc6455-zjdml,run_100_users,100
2026-05-02 20:47:20,memory_usage_bytes,34746368.0,,istio-gateway-istio-9d8f6f899-px5ks,run_100_users,100
2026-05-02 20:47:20,memory_usage_bytes,85909504.0,,paymentservice-58d9fd859c-7cj7m,run_100_users,100
2026-05-02 20:47:20,memory_usage_bytes,57069568.0,,productcatalogservice-7ddb868fc5-xvgsj,run_100_users,100
2026-05-02 20:47:20,memory_usage_bytes,106766336.0,,recommendationservice-94f9b5b49-hjh8n,run_100_users,100
2026-05-02 20:47:20,memory_usage_bytes,47497216.0,,redis-cart-54b58b4c89-4r98z,run_100_users,100
2026-05-02 20:47:20,memory_usage_bytes,56131584.0,,shippingservice-85d895c87-f4rxc,run_100_users,100
2026-05-02 20:47:25,cpu_usage_cores,0.0066245283233492,,adservice-77f6b8b6ff-rmgl7,run_100_users,100
2026-05-02 20:47:25,cpu_usage_cores,0.007443501088199,,cartservice-59fbcb7b44-vcwrm,run_100_users,100
2026-05-02 20:47:25,cpu_usage_cores,0.0052728426769893,,checkoutservice-7b84548875-qz7dk,run_100_users,100
2026-05-02 20:47:25,cpu_usage_cores,0.0062072124445321,,currencyservice-74bfdb9755-d6g9w,run_100_users,100
2026-05-02 20:47:25,cpu_usage_cores,0.0102988212866361,,emailservice-6455d79945-458lq,run_100_users,100
2026-05-02 20:47:25,cpu_usage_cores,0.0051471237563622,,frontend-8458fc6455-zjdml,run_100_users,100
2026-05-02 20:47:25,cpu_usage_cores,0.0041948956379454,,istio-gateway-istio-9d8f6f899-px5ks,run_100_users,100
2026-05-02 20:47:25,cpu_usage_cores,0.0059542670931045,,paymentservice-58d9fd859c-7cj7m,run_100_users,100
2026-05-02 20:47:25,cpu_usage_cores,0.0056952723281639,,productcatalogservice-7ddb868fc5-xvgsj,run_100_users,100
2026-05-02 20:47:25,cpu_usage_cores,0.0100853586396776,,recommendationservice-94f9b5b49-hjh8n,run_100_users,100
2026-05-02 20:47:25,cpu_usage_cores,0.0094797591950527,,redis-cart-54b58b4c89-4r98z,run_100_users,100
2026-05-02 20:47:25,cpu_usage_cores,0.006411055705034,,shippingservice-85d895c87-f4rxc,run_100_users,100
2026-05-02 20:47:25,latency_avg_ms,,cartservice,,run_100_users,100
2026-05-02 20:47:25,latency_avg_ms,,currencyservice,,run_100_users,100
2026-05-02 20:47:25,latency_avg_ms,,productcatalogservice,,run_100_users,100
2026-05-02 20:47:25,latency_p95_ms,,cartservice,,run_100_users,100
2026-05-02 20:47:25,latency_p95_ms,,currencyservice,,run_100_users,100
2026-05-02 20:47:25,latency_p95_ms,,productcatalogservice,,run_100_users,100
2026-05-02 20:47:25,memory_usage_bytes,199544832.0,,adservice-77f6b8b6ff-rmgl7,run_100_users,100
2026-05-02 20:47:25,memory_usage_bytes,139366400.0,,cartservice-59fbcb7b44-vcwrm,run_100_users,100
2026-05-02 20:47:25,memory_usage_bytes,54104064.0,,checkoutservice-7b84548875-qz7dk,run_100_users,100
2026-05-02 20:47:25,memory_usage_bytes,90947584.0,,currencyservice-74bfdb9755-d6g9w,run_100_users,100
