run_name,run_type,timestamp,service,frontend_rps,frontend_total_requests_1m,service_rps,cpu_usage_cores,memory_usage_bytes,latency_avg_ms,latency_p95_ms,service_rps_was_missing,latency_avg_was_missing,latency_p95_was_missing
test_01,test,2026-06-17 04:33:50,adservice,0.0,0.0,0.0,0.0043912395200975,282636288.0,0.0,0.0,False,True,True
test_01,test,2026-06-17 04:33:50,cartservice,0.0,0.0,0.0,0.006162618717134,205291520.0,0.0,0.0,False,True,True
test_01,test,2026-06-17 04:33:50,checkoutservice,0.0,0.0,0.0,0.0049684908907174,71548928.0,0.0,0.0,False,True,True
test_01,test,2026-06-17 04:33:50,currencyservice,0.0,0.0,0.0,0.0049769089052497,135737344.0,0.0,0.0,False,True,True
test_01,test,2026-06-17 04:33:50,emailservice,0.0,0.0,0.0,0.0102341034702135,119738368.0,0.0,0.0,False,True,True
test_01,test,2026-06-17 04:33:50,frontend,0.0,0.0,0.0,0.0053641960565744,115564544.0,0.0,0.0,False,True,True
test_01,test,2026-06-17 04:33:50,paymentservice,0.0,0.0,0.0,0.0047253726308556,121950208.0,0.0,0.0,False,True,True
test_01,test,2026-06-17 04:33:50,productcatalogservice,0.0,0.0,0.0,0.0044005145692752,65482752.0,0.0,0.0,False,True,True
test_01,test,2026-06-17 04:33:50,recommendationservice,0.0,0.0,0.0,0.0090382175506609,182591488.0,0.0,0.0,False,True,True
test_01,test,2026-06-17 04:33:50,shippingservice,0.0,0.0,0.0,0.0051780212734319,59817984.0,0.0,0.0,False,True,True
test_01,test,2026-06-17 04:33:55,adservice,0.0,0.0,0.0,0.0044808194842553,282701824.0,0.0,0.0,False,False,False
test_01,test,2026-06-17 04:33:55,cartservice,0.0,0.0,0.0,0.006162618717134,205291520.0,0.0,0.0,False,True,True
test_01,test,2026-06-17 04:33:55,checkoutservice,0.0,0.0,0.0,0.004532038827656,71680000.0,0.0,0.0,False,True,True
test_01,test,2026-06-17 04:33:55,currencyservice,0.0,0.0,0.0,0.0139815826901519,136716288.0,0.0,0.0,False,True,True
test_01,test,2026-06-17 04:33:55,emailservice,0.0,0.0,0.0,0.0103741670230373,120270848.0,0.0,0.0,False,True,True
test_01,test,2026-06-17 04:33:55,frontend,0.0,0.0,0.0,0.0054444411937762,115564544.0,0.0,0.0,False,True,True
test_01,test,2026-06-17 04:33:55,paymentservice,0.0,0.0,0.0,0.0042273581654186,121995264.0,0.0,0.0,False,True,True
test_01,test,2026-06-17 04:33:55,productcatalogservice,0.0,0.0,0.0,0.0070149539984322,65363968.0,0.0,0.0,False,True,True
test_01,test,2026-06-17 04:33:55,recommendationservice,0.0,0.0,0.0,0.0086107003168013,182591488.0,0.0,0.0,False,True,True
test_01,test,2026-06-17 04:33:55,shippingservice,0.0,0.0,0.0,0.0051780212734319,59817984.0,0.0,0.0,False,True,True
test_01,test,2026-06-17 04:34:00,adservice,1.570646364608102,94.23878187648612,0.7416941166204926,0.0057905049249942,282820608.0,1.0020833333255723,4.771428571428571,False,False,False
test_01,test,2026-06-17 04:34:00,cartservice,1.570646364608102,94.23878187648612,0.0,0.0060394917017178,205291520.0,25.25074812967564,24.96249999999995,False,True,True
test_01,test,2026-06-17 04:34:00,checkoutservice,1.570646364608102,94.23878187648612,0.0,0.0053284750491865,71680000.0,20.5,24.25,False,True,True
test_01,test,2026-06-17 04:34:00,currencyservice,1.570646364608102,94.23878187648612,0.0,0.014635933439269,136716288.0,2.2795243619506573,7.9655172413793185,False,True,True
test_01,test,2026-06-17 04:34:00,emailservice,1.570646364608102,94.23878187648612,0.0,0.0103741670230373,120270848.0,1.3576923076929792,4.799999999999999,False,True,True
test_01,test,2026-06-17 04:34:00,frontend,1.570646364608102,94.23878187648612,0.0,0.0411692473707128,116019200.0,110.00419580419972,321.25000000000006,False,True,True
test_01,test,2026-06-17 04:34:00,paymentservice,1.570646364608102,94.23878187648612,0.0218145328417791,0.0051314224144909,121995264.0,1.8125,5.999999999999995,False,True,True
test_01,test,2026-06-17 04:34:00,productcatalogservice,1.570646364608102,94.23878187648612,15.291987522087217,0.0089038088084204,65363968.0,0.1550925925882809,3.559999999999999,False,False,False
test_01,test,2026-06-17 04:34:00,recommendationservice,1.570646364608102,94.23878187648612,0.0,0.0163355214593464,184119296.0,6.892483660123415,19.7840909090909,False,True,True
test_01,test,2026-06-17 04:34:00,shippingservice,1.570646364608102,94.23878187648612,0.0,0.004577525707913,59817984.0,0.598728813559396,4.623076923076922,False,True,True
test_01,test,2026-06-17 04:34:05,adservice,1.570646364608102,94.23878187648612,0.7416941166204926,0.011259950232438,283398144.0,1.0020833333255723,4.771428571428571,False,False,False
test_01,test,2026-06-17 04:34:05,cartservice,1.570646364608102,94.23878187648612,0.0,0.005444425826653,205291520.0,25.25074812967564,24.96249999999995,False,True,True
test_01,test,2026-06-17 04:34:05,checkoutservice,1.570646364608102,94.23878187648612,0.2470203174211079,0.0044146177425525,71680000.0,20.5,24.25,False,False,False
test_01,test,2026-06-17 04:34:05,currencyservice,1.570646364608102,94.23878187648612,0.0,0.014635933439269,136716288.0,2.2795243619506573,7.9655172413793185,False,True,True
test_01,test,2026-06-17 04:34:05,emailservice,1.570646364608102,94.23878187648612,0.0,0.0110604277614542,120270848.0,1.3576923076929792,4.799999999999999,False,True,True
test_01,test,2026-06-17 04:34:05,frontend,1.570646364608102,94.23878187648612,0.0,0.082235833868284,118099968.0,110.00419580419972,321.25000000000006,False,True,True
test_01,test,2026-06-17 04:34:05,paymentservice,1.570646364608102,94.23878187648612,0.0218145328417791,0.0051314224144909,121995264.0,1.8125,5.999999999999995,False,True,True
test_01,test,2026-06-17 04:34:05,productcatalogservice,1.570646364608102,94.23878187648612,15.291987522087217,0.0224850166564821,65929216.0,0.1550925925882809,3.559999999999999,False,False,False
test_01,test,2026-06-17 04:34:05,recommendationservice,1.570646364608102,94.23878187648612,0.0,0.0193472170899513,184119296.0,6.892483660123415,19.7840909090909,False,True,True
test_01,test,2026-06-17 04:34:05,shippingservice,1.570646364608102,94.23878187648612,0.0,0.0045526254682141,59817984.0,0.598728813559396,4.623076923076922,False,True,True
test_01,test,2026-06-17 04:34:10,adservice,2.3346303501945527,140.07782101167314,1.1024643320363166,0.0116129287194006,283398144.0,1.0020833333255723,4.7714285714285705,False,False,False
test_01,test,2026-06-17 04:34:10,cartservice,2.3346303501945527,140.07782101167314,0.0,0.044048195159274,205459456.0,25.25074812967564,24.96249999999995,False,True,True
test_01,test,2026-06-17 04:34:10,checkoutservice,2.3346303501945527,140.07782101167314,0.2470203174211079,0.0160227254918746,71024640.0,20.5,24.25,False,False,False
test_01,test,2026-06-17 04:34:10,currencyservice,2.3346303501945527,140.07782101167314,39.03001358639713,0.0197797845727521,136716288.0,2.2795243619506573,7.9655172413793185,False,False,False
